POINT_ID,LC0_Desc,BDsample_0,coarse_mas,BDfine_0_2,coarse_vol,,
,Land Cover (Eurostat),BDsample_0_20_2018,coarse_mass_fraction,BDfine_0_20_2018_approx,coarse_volume_fraction_approx,,
47462992,Cropland,1.25,0.17,1.13,0.082,,
47463010,Cropland,1.4,0.04,1.373,0.022,,
47523010,Cropland,1.572,0.16,1.461,0.097,,
47542978,Woodland,0.782,0.07,0.742,0.021,,
47542996,Cropland,1.407,0.11,1.331,0.06,,
47563046,Cropland,1.473,0.17,1.352,0.096,,
47623012,Grassland,1.241,0.01,1.234,0.005,,
47623038,Cropland,1.181,0.18,1.054,0.082,,
47663044,Grassland,1.136,0.35,0.872,0.153,,
47663076,Grassland,1.337,0.13,1.246,0.067,,
47762968,Grassland,1.279,0.12,1.196,0.059,,
47763032,Grassland,1.049,0.27,0.859,0.109,,
